location_types,sub_type
library,Education
museum,Education
primary_school,Education
school,Education
secondary_school,Education
university,Education
amusement_park,Entertainment
aquarium,Entertainment
art_gallery,Entertainment
movie_theater,Entertainment
night_club,Entertainment
stadium,Entertainment
tourist_attraction,Entertainment
zoo,Entertainment
dentist,Health
doctor,Health
gym,Health
hospital,Health
pharmacy,Health
physiotherapist,Health
airport,Transportation
bus_station,Transportation
light_rail_station,Transportation
subway_station,Transportation
train_station,Transportation
transit_station,Transportation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
